task,penetration
"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.",0.0
Act as liaison with physicist and supportive care personnel.,0.0
Act as liaisons between clients and medical staff.,0.0
Act as liaisons between engineering and production departments.,0.0
Act as liaisons between minority placement agencies and employers or between job search committees and other equal opportunity administrators.,0.0
Act as liaisons between on-site managers or tenants and owners.,0.0
"Act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently.",0.0
Act as oversight or security agents for management or customers.,0.0
Act as pallbearers.,0.0
"Act as part of the security team at transportation terminals, hotels, or similar establishments.",0.0
"Activate agitators and paddles to mix or stir ingredients, stopping machines when ingredients are thoroughly mixed.",0.0
"Activate and adjust machine controls to regulate temperature and pressure of rollers, ironing shoes, or plates, according to specifications.",0.0
Activate bead setters that press prefabricated beads onto plies.,0.0
"Activate emergency action plans and administer first aid, as necessary.",0.0
Activate fluoroscope and camera to produce images used to guide catheter through cardiovascular system.,0.0
Activate fuel pumps and fill fuel tanks of vehicles with gasoline or diesel fuel to specified levels.,0.0
"Activate machine start-up switches to grind, lap, hone, debar, shear, or cut workpieces, according to specifications.",0.0
"Activate machines to shape or form products, such as candy bars, light bulbs, balloons, or insulation panels.",0.0
Activate mechanical rakes to regulate flow of ice from storage bins to vats.,0.0
Activate photovoltaic (PV) systems to verify system functionality and conformity to performance expectations.,0.0
"Activate scanners to produce positive or negative films for the black-and-white, cyan, yellow, and magenta separations from each original copy.",0.0
Activate shears and grinders to trim workpieces.,0.0
"Activate valves to maintain required amounts of water in boilers, to adjust supplies of combustion air, and to control the flow of fuel into burners.",0.0
Adapt existing or develop new music therapy assessment instruments or procedures to meet an individual client's needs.,0.0
Adapt instructional content or delivery methods for different levels or types of learners.,0.8585
Adapt instructional techniques to the age and skill levels of students.,0.0
Adapt or design computer hardware or software for medical science uses.,0.0
Adapt other designers' ideas for the mass market.,0.0
Adapt software and accompanying technical documents to another language and culture.,0.0
"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering.",0.0
Adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.8162
"Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",0.7239
Adapt text to accommodate musical requirements of composers and singers.,0.8632
Adapt the quantity of ingredients to match the amount of items to be baked.,0.0
"Adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.9655
Add chemicals and solutions to tanks to ensure that specifications are met.,0.0
Add chemicals or materials to workpieces or machines to facilitate bonding or to cool workpieces.,0.0
"Add chemicals, solutions, or ingredients to machines or equipment as required by the manufacturing process.",0.0
"Add chemicals, such as ammonia, chlorine, or lime, to disinfect and deodorize water and other liquids.",0.0
"Add cutlery, napkins, food, and other items to trays on assembly lines in hospitals, cafeterias, airline kitchens, and similar establishments.",0.0
Add dimensional details to blueprints or drawings made by other workers.,0.0
"Add dyes, water, detergents, or chemicals to tanks to dilute or strengthen solutions, according to established formulas and solution test results.",0.0
"Add ink, fill paste reservoirs, and change machine ribbons when necessary.",0.0
Add metal to molds to compensate for shrinkage.,0.0
Add new material to file records or create new records as necessary.,0.0
"Add or mix chemicals and ingredients for processing, using hand tools or other devices.",0.0
"Add or mix chemicals or ingredients for processing, using hand tools or other devices.",0.0
"Add radioactive substances to biological specimens, such as blood, urine, or feces, to determine therapeutic drug or hormone levels.",0.0
"Add relishes and garnishes to food orders, according to instructions.",0.0
Add specified amounts of chemicals to equipment at required times to maintain solution levels and concentrations.,0.0
"Add treating or neutralizing agents to products, and pump products through filters or centrifuges to remove impurities or to precipitate products.",0.0
Add water or acid to battery cell solutions to obtain specified concentrations.,0.0
"Address community groups, faculty, and staff members to explain available counseling services.",0.0
"Address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.0
"Address envelopes or prepare envelope labels, using typewriter or computer.",0.0
"Address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.0
Address public audiences to explain program objectives and to elicit support.,0.0
"Address schools, civic groups, sporting clubs, or the media to disseminate information concerning wildlife conservation and regulations.",0.0
"Address special issues or situations, such as illegal or unauthorized use of equipment, or cases of electrical or acoustic shock.",0.0
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.9928
"Adhere to all applicable regulations, policies, and procedures for health, safety, and environmental compliance.",0.0
Adhere to legal policies and procedures related to handling digital media.,0.0
"Adhere to local, state, and federal laws, regulations, and statutes.",0.0
"Adhere to safety practices and procedures, such as checking equipment regularly and erecting barriers around work areas.",0.0
Adhere to schedules to keep events running on time.,0.0
Adjust air cylinders and setting stops to set traverse lengths and feed arm strokes.,0.0
"Adjust and correct machine set-ups to reduce thicknesses, reshape products, and eliminate product defects.",0.0
"Adjust and maintain industrial machinery, using control and regulating devices.",0.0
"Adjust and maintain operating room temperature, humidity, or lighting, according to surgeon's specifications.",0.0
"Adjust and operate surveying instruments such as prisms, theodolites, electronic distance measuring equipment, or electronic data collectors.",0.0
"Adjust and reline brakes, align wheels, tighten bolts and screws, and reassemble equipment.",0.0
Adjust and repair assistive devices and make adaptive changes to other equipment and to environments.,0.0
"Adjust and repair coin, vending, or amusement machines and meters and replace defective mechanical and electrical parts, using hand tools, soldering irons, and diagrams.",0.0
"Adjust apertures, shutter speeds, and camera focus according to a combination of factors, such as lighting, field depth, subject motion, film type, and film speed.",0.0
"Adjust bolts, clamps, stops, guides, or table angles or heights, using hand tools.",0.0
"Adjust cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.",0.0
"Adjust carburetor mixtures, electrical point settings, or timing while motors are running in water-filled test tanks.",0.0
"Adjust coaching techniques, based on the strengths and weaknesses of athletes.",0.0
"Adjust controls and/or valves on equipment to provide power, and to regulate and set operations of system or industrial processes.",0.0
"Adjust controls of equipment to control particle beam movement, pulse rates, energy or intensity, or radiation, according to specifications.",0.0
"Adjust controls of machines that spread, shape, raise, level, or align track, according to specifications.",0.0
"Adjust controls on infrared ovens, heat lamps, portable ventilators, or exhaust units to speed the drying of surfaces between coats.",0.0
Adjust controls to draw or press metal into specified shapes and diameters.,0.0
Adjust controls to generate specified electrical power or to regulate the flow of power between generating stations and substations.,0.0
"Adjust controls to guide, position, or move equipment, such as cranes, booms, or cameras.",0.0
Adjust controls to maintain specific building temperatures required for animals' health and safety.,0.0
"Adjust controls to maintain temperatures and heating times, using thermal instruments and charts, dials and gauges of furnaces, and color of stock in furnaces to make setting determinations.",0.0
"Adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures.",0.0
"Adjust controls to regulate air-conditioning, heating, and lighting on trains for comfort of passengers.",0.0
"Adjust controls to regulate specified temperature and humidity of animal quarters, nurseries, or exhibit areas.",0.0
"Adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0.0
Adjust controls to set temperatures of coating substances and speeds of machines and equipment.,0.0
Adjust cutting techniques to types of fabrics and styles of garments.,0.0
Adjust dental appliances to produce and maintain normal function.,0.0
"Adjust depths and sizes of cuts by adjusting heights of worktables, or by adjusting machine-arm gauges.",0.0
Adjust dials to regulate flow of current and voltage supplied to terminals to control plating processes.,0.0
Adjust dig face angles for varying overburden depths and set lengths.,0.0
"Adjust digital files to alter print elements, such as fonts, graphics, or color separations.",0.0
"Adjust doors to open or close with the correct amount of effort, or make simple adjustments to electric openers.",0.0
Adjust equipment and controls according to physicians' orders or established protocol.,0.0
"Adjust equipment and workpiece holding fixtures, such as mold frames, tubs, and cutting tables, to ensure proper functioning.",0.0
Adjust equipment controls to generate specified amounts of electrical power.,0.0
"Adjust equipment controls to maintain specified heat, tension, and speed.",0.0
Adjust equipment to optimize viewing of the nervous system.,0.0
"Adjust felt hammers on pianos to increase tonal mellowness or brilliance, using sanding paddles, lacquer, or needles.",0.0
"Adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.",0.0
"Adjust generators and replace faulty wiring, using hand tools and soldering irons.",0.0
"Adjust guide assemblies, forming bars, and folding mechanisms according to specifications, using hand tools.",0.0
Adjust guides and stops to control depths and widths of cuts.,0.0
"Adjust guides, rollers, loose card inserters, weighing machines, and tying arms, using rules and hand tools.",0.0
"Adjust handwheels and depress pedals to control attachments, such as blades, buckets, scrapers, or swing booms.",0.0
Adjust ink fountain flow rates.,0.0
Adjust inventory records to reflect product movement.,0.0
Adjust lenses and frames to correct alignment.,0.0
"Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.",0.0
Adjust machine components and machine tension and pressure according to size or processing angle of product.,0.0
"Adjust machine components to regulate speeds, pressures, and temperatures, and amounts, dimensions, and flow of materials or ingredients.",0.0
Adjust machine controls and change tool settings to keep dimensions within specified tolerances.,0.0
"Adjust machine controls to alter position, alignment, speed, or pressure.",0.0
"Adjust machine controls, such as heating mechanisms, tensions, or speeds, to produce specified products.",0.0
"Adjust machine feed and speed, change cutting tools, or adjust machine controls when automatic programming is faulty or if machines malfunction.",0.0
"Adjust machine heating mechanisms, tensions, and speeds to produce specified products.",0.0
Adjust machine or freezer speed and air intake to obtain desired consistency and amount of product.,0.0
Adjust machine pressure gauges and thermostats.,0.0
Adjust machine settings such as speed or tension to produce products that meet specifications.,0.0
Adjust machine tables or cutting devices and set controls on machines to produce specified cuts or operations.,0.0
Adjust network sizes to meet volume or capacity demands.,0.0
"Adjust or align headlights, wheels, and brake systems.",0.0
"Adjust or maintain equipment, such as lasers, laser systems, microscopes, oscilloscopes, pulse generators, power meters, beam analyzers, or energy measurement devices.",0.0
Adjust or make minor repairs to spectacles or eyeglasses.,0.0
Adjust or modify equipment to enhance equipment performance or to respond to customer requests.,0.0
Adjust or repair computer controlled exhaust emissions devices.,0.0
"Adjust or repair testing, electrical, or mechanical equipment or devices.",0.0
"Adjust or replace equipment parts, such as rollers, belts, plugs, or caps, using hand tools.",0.0
"Adjust or replace webbing, padding, or springs, and secure them in place.",0.0
"Adjust points, valves, carburetors, distributors, and spark plug gaps, using feeler gauges.",0.0
"Adjust positions and controls of cameras, printers, and related equipment to change focus, exposure, and lighting.",0.0
Adjust power production systems to meet load and distribution demands.,0.0
"Adjust pressures, temperatures, and trimming tool settings as required.",0.0
"Adjust ram strokes of presses to specified lengths, using hand tools.",0.0
"Adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines.",0.0
Adjust repaired or replaced units as needed to ensure proper operation.,0.0
Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,0.0
"Adjust safety controls, counterweights, door mechanisms, and components such as valves, ratchets, seals, and brake linings.",0.0
Adjust sales scripts to better target the needs and interests of specific individuals.,0.0
"Adjust saw blades, using wrenches and rulers, or by turning handwheels or pressing pedals, levers, or panel buttons.",0.0
"Adjust sensitivity of units, based on room structures and manufacturers' recommendations, using programming keypads.",0.0
"Adjust settings for format, page layout, line spacing, and other style requirements.",0.0
"Adjust settings on patients' assistive devices, such as temporary pacemakers.",0.0
"Adjust sizes or positioning of timepiece parts to achieve specified fit or function, using calipers, fixtures, and loupes.",0.0
"Adjust string tensions to tune instruments, using hand tools and electronic tuning devices.",0.0
Adjust surveying instruments to maintain their accuracy.,0.0
Adjust system controls to settings recommended by manufacturer to balance system.,0.0
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",0.0
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of gas to maintain processes at required levels or to correct problems.",0.0
"Adjust timing regulators, using truing calipers, watch-rate recorders, and tweezers.",0.0
Adjust valves and equipment to obtain specified performance.,0.0
Adjust wheel speeds according to the feel of the clay as pieces enlarge and walls become thinner.,0.0
Adjust window shades or seat cushions at the request of passengers.,0.0
"Adjust working parts, such as fan belts, contacts, and springs, using hand tools and gauges.",0.0
"Adjust, clean, and lubricate mechanical parts of machines, using hand tools and grease guns.",0.0
"Adjust, clean, or repair products or processing equipment to correct defects found during inspections.",0.0
"Adjust, connect, or disconnect wiring, piping, tubing, and other parts, using hand or power tools.",0.0
"Adjust, maintain, and repair or replace subassemblies, such as transmissions and crawler heads, using hand tools, jacks, and cranes.",0.0
"Adjust, maintain, and repair tools, equipment, and machines, and assist more skilled workers with similar tasks.",0.0
"Adjust, maintain, or repair laboratory equipment, such as microscopes.",0.0
"Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.",0.0
"Adjust, repair, or replace defective wiring and relays in ignition, lighting, air-conditioning, and safety control systems, using electrician's tools.",0.0
"Adjust, repair, or replace electrical or electronic components to correct defects and to ensure conformance to specifications.",0.0
"Adjust, repair, or replace faulty components of test setups and equipment.",0.0
"Adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.0
"Adjust, repair, rework, or replace parts or assemblies to ensure proper operation.",0.0
"Administer active or passive manual therapeutic exercises, therapeutic massage, aquatic physical therapy, or heat, light, sound, or electrical modality treatments, such as ultrasound.",0.0
"Administer active or passive manual therapeutic exercises, therapeutic massage, or heat, light, sound, water, or electrical modality treatments, such as ultrasound.",0.0
"Administer and score applicant and employee aptitude, personality, and interest assessment instruments.",0.0
"Administer anesthesia to animals, under the direction of a veterinarian, and monitor animals' responses to anesthetics so that dosages can be adjusted.",0.0
"Administer anesthetic or sedation during medical procedures, using local, intravenous, spinal, or caudal methods.",0.0
"Administer anesthetic, adjuvant, or accessory drugs under the direction of an anesthesiologist.",0.0
Administer anesthetics during surgery and monitor the effects on animals.,0.0
Administer anesthetics to limit the amount of pain experienced by patients during procedures.,0.0
"Administer basic hearing tests including air conduction, bone conduction, or speech audiometry tests.",0.0
"Administer bedside or personal care, such as ambulation or personal hygiene assistance.",0.0
"Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.",0.0
"Administer blood and blood products, monitoring patients for signs and symptoms related to transfusion reactions.",0.0
"Administer blood, blood products, or supportive fluids.",0.0
"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",0.0
Administer construction contracts.,0.0
Administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.9731
"Administer drug and alcohol tests, including random drug screens of offenders, to verify compliance with substance abuse treatment programs.",0.0
"Administer drugs, orally or by injection, or perform intravenous procedures.",0.0
"Administer emergency cardiac care for life-threatening heart problems, such as cardiac arrest and heart attack.",0.0
"Administer emergency first aid, such as performing emergency resuscitation or other life saving procedures.",0.0
"Administer emergency first aid, wrap injuries, treat minor chronic disabilities, or refer injured persons to physicians.",0.0
Administer employee benefit plans.,0.0
"Administer employee insurance, pension, and savings plans, working with insurance brokers and plan carriers.",0.0
Administer first aid according to prescribed procedures and notify emergency medical personnel when necessary.,0.0
Administer first aid and cardiopulmonary resuscitation to injured persons or provide emergency medical care such as basic or advanced life support.,0.0
Administer first aid in emergency situations.,0.0
Administer first aid to injured group participants.,0.0
Administer first aid to passengers in distress.,0.0
Administer first aid treatment or life support care to sick or injured persons in prehospital settings.,0.0
"Administer first aid, such as bandaging, splinting, or administering oxygen.",0.0
Administer general and local anesthetics.,0.0
"Administer hearing or speech and language evaluations, tests, or examinations to patients to collect information on type and degree of impairments, using written or oral tests or special instruments.",0.0
"Administer hearing tests and examine patients to collect information on type and degree of impairment, using specialized instruments and electronic equipment.",0.0
"Administer highway planning, construction, or maintenance.",0.855
Administer immunizations or other basic preventive treatments.,0.0
"Administer internet or intranet infrastructure, including Web, file, and mail servers.",0.0
Administer local anesthetic agents.,0.0
"Administer local, inhalation, intravenous, or other anesthetics.",0.0
"Administer manual exercises, massage, or traction to help relieve pain, increase patient strength, or decrease or prevent deformity or crippling.",0.0
"Administer medication, immunizations, or blood plasma to animals as prescribed by veterinarians.",0.0
"Administer medications intravenously, by injection, orally, through gastric tubes, or by other methods.",0.0
"Administer medications or treatments, such as catheterizations, suppositories, irrigations, enemas, massages, or douches, as directed by a physician or nurse.",0.0
Administer medications to patients and monitor patients for reactions or side effects.,0.0
"Administer medications, including those administered by injection.",0.0
Administer online purchasing systems.,0.983
"Administer or order diagnostic tests, such as x-ray, electrocardiogram, and laboratory tests.",0.0
"Administer oral medications or hypodermic injections, following physician's prescriptions and hospital procedures.",0.0
"Administer oral, written, or performance tests to measure progress and to evaluate training effectiveness.",0.0
"Administer oral, written, road, or flight tests to license applicants.",0.0
Administer post-anesthesia medications or fluids to support patients' cardiovascular systems.,0.0
"Administer prescribed doses of radiation to specific body parts, using radiation therapy equipment according to established practices and standards.",0.0
"Administer prescribed medications or start intravenous fluids, noting times and amounts on patients' charts.",0.0
Administer prescribed medications to animals.,0.0
"Administer prescribed oral medications, under the written direction of physician or as directed by home care nurse or aide, and ensure patients take their medicine.",0.0
Administer programs designed to ensure the proper sealing of abandoned wells.,0.0
"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",0.0
Administer radioisotopes to clinical patients or research subjects.,0.0
"Administer radiopharmaceuticals or radiation intravenously to detect or treat diseases, using radioisotope equipment, under direction of a physician.",0.0
"Administer regulations regarding sanitation, fire prevention, violation corrections, and related forest regulations.",0.0
Administer religious rites or ordinances.,0.0
Administer standardized ability and achievement tests and interpret results to determine children's developmental levels and needs.,0.0
Administer standardized ability and achievement tests to elementary students with special needs.,0.0
Administer standardized ability and achievement tests to kindergarten students with special needs.,0.0
"Administer standardized ability and achievement tests, and interpret results to determine student strengths and needs.",0.0
"Administer standardized ability and achievement tests, and interpret results to determine students' strengths and needs.",0.0
"Administer standardized tests to research subjects, or interview them to collect research data.",0.0
"Administer subcutaneous or intramuscular injects, in accordance with licensing restrictions.",0.0
"Administer systems and programs to reduce loss, maintain inventory control, or increase safety.",0.0
Administer tests and interpret test results to develop rehabilitation plans for clients.,0.0
Administer tests to assess whether engineers or operators are qualified to use equipment.,0.0
"Administer tests to help determine children's developmental levels, needs, and potential.",0.0
"Administer tests to help determine children's developmental levels, needs, or potential.",0.0
Administer therapeutic medication and advise patron to seek medical treatment for chronic or contagious scalp conditions.,0.0
Administer topical ophthalmic or oral medications.,0.0
"Administer traction to relieve neck or back pain, using intermittent or static traction equipment.",0.0
"Administer treatment involving application of physical agents, using equipment, moist packs, ultraviolet or infrared lamps, or ultrasound machines.",0.0
"Administer treatments or therapies, such as homeopathy, hydrotherapy, Oriental or Ayurvedic medicine, electrotherapy, and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.0
Administer welfare programs.,0.0
"Administer, coordinate, or recommend disciplinary and corrective actions.",0.0
"Administer, direct, and review employee benefit programs, including the integration of benefit programs following mergers and acquisitions.",0.0
"Administer, dispense, or prescribe natural medicines, such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.0
"Administer, proctor, or score academic or diagnostic assessments.",0.9936
Admit patients for hospital stays.,0.0
"Admit required amounts of water, steam, cooking oils, or compressed air into equipment, such as by opening water valves to cool mixtures to the desired consistency.",0.0
Advance machines to gather material and convey it into cars.,0.0
"Advertise products and work, using media such as internet advertising and brochures.",0.0
Advertise services using media such as internet advertising and brochures.,0.0
Advise against injured athletes returning to games or competition if resuming activity could lead to further injury.,0.0
"Advise and instruct teachers employed in school systems by providing activities, such as in-service seminars.",0.0
Advise and teach students.,0.7479
"Advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.8913
Advise animal owners regarding the purchase of specific animals.,0.0
"Advise architects, builders, and other construction personnel on fire prevention equipment and techniques and on fire code and standard interpretation and compliance.",0.0
Advise athletes on the proper use of equipment.,0.0
"Advise athletes on ways that substances, such as herbal remedies, could affect drug testing results.",0.0
"Advise athletes, trainers, or coaches to alter or cease sports practices that are potentially harmful.",0.0
"Advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",0.0
"Advise authorities of procedures to be followed in radiation incidents or hazards, and assist in civil defense planning.",0.0
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.0
Advise businesses or agencies on ways to improve fraud detection.,0.0
"Advise client on interior design factors, such as space planning, layout and use of furnishings or equipment, and color coordination.",0.0
Advise clients about colors and types of makeup and instruct them in makeup application techniques.,0.0
Advise clients about proper clothing and shoes.,0.0
Advise clients about the materials being used for finished products.,0.0
"Advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.7686
"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",0.0
"Advise clients on aspects of capitalization, such as amounts, sources, or timing.",0.0
"Advise clients on financial and legal matters, such as investments and taxes.",0.0
"Advise clients on housing matters, such as housing rental, homeownership, mortgage delinquency, or foreclosure prevention.",0.0
Advise clients on how they could be helped by counseling.,0.0
"Advise clients on market conditions, prices, mortgages, legal requirements, and related matters.",0.0
Advise clients on nail care and use of products and colors.,0.0
Advise clients on transportation and payment methods.,0.0
"Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing.",0.0
"Advise clients or community groups on issues related to diagnostic screenings, such as breast cancer screening, pap smears, glaucoma tests, or diabetes screenings.",0.0
"Advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.0
"Advise clients or community groups on issues related to risk or prevention of conditions, such as lead poisoning, human immunodeficiency virus (HIV), prenatal substance abuse, or domestic violence.",0.0
"Advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",0.0
"Advise clients or community groups on issues related to self-care, such as diabetes management.",0.0
"Advise clients or community groups on issues related to social or intellectual development, such as education, childcare, or problem solving.",0.0
Advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,0.0
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",0.0
"Advise clients regarding food stamps, child care, food, money management, sanitation, or housekeeping.",0.0
"Advise coaches, trainers, or physical therapists on the proper use of exercises and other therapeutic techniques, and alert them to potentially dangerous practices.",0.0
"Advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.0
Advise corporations on issues involving corporate image projects or problems.,0.9572
Advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment.,0.0
Advise crews in techniques of stowing dangerous and heavy cargo.,0.0
Advise customers and others on the best use of gems to create attractive jewelry items.,0.0
"Advise customers concerning equipment operation, maintenance, or programming.",0.0
Advise customers of necessary actions and strategies for debt repayment.,0.8554
"Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",0.0
Advise customers on plant selection or care.,0.0
Advise customers on product usage to improve production.,0.0
Advise customers on proper installation of valves or regulators and related equipment.,0.0
Advise customers on substitution or modification of parts when identical replacements are not available.,0.0
"Advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",0.0
Advise customers on use and care of merchandise.,1.0
"Advise dancers on standing and moving properly, teaching correct dance techniques to help prevent injuries.",0.0
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.0
Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.,0.0
Advise educators or other medical staff on hearing or balance topics.,0.0
"Advise employees in handling problems or resolving complaints from customers, tenants, detainees, or other persons.",0.0
Advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0
"Advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.0
Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.,0.0
Advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,0.0
"Advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with establishment, operation, and evaluation of food service facilities and nutrition programs.",0.0
"Advise government agencies, private organizations, and communities regarding proposed programs, plans, and policies and their potential impacts on cultural institutions, organizations, and communities.",0.0
Advise hairdressers on the hairstyles required for character parts.,0.0
"Advise hospital administrators on the planning, acquisition, and use of medical equipment.",0.0
Advise housekeeping staff when rooms have been vacated and are ready for cleaning.,0.0
Advise industries or government agencies about environmental policies and standards.,0.0
Advise internal management or business partners on the implementation or operation of compliance programs.,0.0
"Advise land users, such as farmers or ranchers, on plans, problems, or alternative conservation solutions.",0.0
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.0
"Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.6526
Advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,0.0
"Advise management on organizing, preparing, or implementing recruiting or retention programs.",0.0
"Advise management on short-term and long-term financial objectives, policies, and actions.",0.0
"Advise management on such matters as equal employment opportunity, sexual harassment, and discrimination.",0.0
Advise management on whether continued operation of equipment could be hazardous.,0.0
"Advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",0.0
"Advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures, and classification programs.",0.0
"Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.0
"Advise managers, desk clerks, or admitting personnel of rooms ready for occupancy.",0.0
"Advise manufacturing staff regarding problems with fermentation, filtration, or other bioproduction processes.",0.0
Advise on health risks in the workplace or on health-related transition to retirement.,0.0
Advise oncology team members on use of beam modifying or immobilization devices in radiation treatment plans.,0.0
Advise or assist in obtaining patents or meeting other legal requirements.,0.722
Advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,0.0
"Advise or inform guardians, relatives, or significant others of patients' conditions or treatment.",0.0
"Advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.9032
"Advise other physicians of the clinical indications, limitations, assessments, or risks of diagnostic and therapeutic applications of radioactive materials.",0.0
Advise other physicians on the treatment of neurological problems.,0.0
